Date	Time	Temp_out	Rain
2008-06-30	11:00	---	---
2008-06-30	11:10	---	---
2008-06-30	11:20	24.3	0.0
2008-06-30	11:30	24.3	0.0
2008-06-30	11:40	24.2	0.0
2008-06-30	11:50	24.3	0.0
2008-06-30	12:00	24.3	0.0
2008-06-30	12:10	24.3	0.0
2008-06-30	12:20	24.2	0.0
2008-06-30	12:30	24.2	0.0
2008-06-30	12:40	24.2	0.0
2008-06-30	12:50	24.2	0.0
2008-06-30	13:00	24.2	0.0
2008-06-30	13:10	24.2	0.0
2008-06-30	13:20	24.2	0.0
